报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2021-09-30,226.86亿,15.46%,225.71亿,15.22%,3509.34亿,2.64%,2.3600,22.94,8.28,9.52,7.77,6.64%,10.40%,10.28%,7.66,88.21%
2021-06-30,173.04亿,21.53%,171.84亿,21.33%,2525.12亿,7.23%,1.8000,22.72,8.28,8.97,6.14,7.05%,7.80%,7.92%,7.66,88.20%
2021-03-31,85.47亿,1.90%,84.83亿,1.06%,1512.63亿,9.44%,0.8900,23.02,8.28,9.36,3.75,5.81%,3.90%,3.86%,7.21,87.55%
2020-12-31,245.84亿,-11.38%,245.69亿,7.22%,4221.82亿,9.52%,2.6300,22.37,8.29,8.48,11.55,6.01%,12.60%,11.42%,7.20,87.53%
2020-09-30,196.48亿,-14.25%,195.90亿,8.36%,3419.20亿,9.86%,2.1200,21.08,8.29,8.25,8.84,5.90%,10.40%,9.69%,7.53,88.02%
2020-06-30,142.39亿,-12.01%,141.63亿,24.84%,2354.81亿,6.85%,1.5700,20.55,8.22,7.72,7.41,6.20%,7.70%,7.24%,7.54,88.03%
2020-03-31,83.88亿,53.09%,83.94亿,52.92%,1382.11亿,3.80%,0.9300,20.52,7.35,8.71,4.81,6.22%,4.60%,4.51%,7.64,88.15%
2019-12-31,277.41亿,53.95%,229.15亿,26.71%,3854.89亿,8.78%,3.0600,19.69,7.35,7.79,12.34,7.36%,16.92%,15.55%,7.54,88.01%
2019-09-30,229.14亿,80.21%,180.78亿,42.60%,3112.26亿,7.39%,2.5300,18.79,7.35,7.55,9.85,7.52%,14.20%,13.46%,7.74,88.29%
2019-06-30,161.83亿,96.06%,113.45亿,38.07%,2203.86亿,7.67%,1.7900,17.93,7.35,6.81,7.15,7.50%,10.10%,9.96%,8.05,88.67%
2019-03-31,54.79亿,46.07%,54.89亿,46.30%,1331.53亿,7.00%,0.6000,17.89,7.35,6.63,5.11,4.20%,3.50%,3.38%,7.76,88.30%
2018-12-31,180.19亿,22.90%,180.84亿,24.96%,3543.63亿,10.80%,1.9900,16.51,7.35,6.03,9.87,5.20%,12.55%,12.05%,7.90,88.47%
2018-09-30,127.15亿,16.37%,126.77亿,17.44%,2898.15亿,11.84%,1.4000,15.78,7.35,5.64,8.12,4.49%,9.00%,8.89%,7.99,88.58%
2018-06-30,82.54亿,26.81%,82.17亿,26.34%,2046.94亿,15.28%,0.9100,15.33,7.35,5.14,5.93,4.13%,5.80%,5.94%,8.23,88.87%
2018-03-31,37.51亿,87.55%,37.52亿,87.04%,1244.38亿,14.79%,0.4100,15.63,7.35,5.46,4.78,3.08%,2.70%,2.65%,7.64,88.15%
2017-12-31,146.62亿,21.61%,144.72亿,19.96%,3198.09亿,19.76%,1.6200,15.17,7.35,5.05,9.50,4.69%,10.89%,10.66%,7.49,87.95%
2017-09-30,109.26亿,23.75%,107.94亿,22.73%,2591.23亿,21.42%,1.2100,14.98,7.37,4.78,7.20,4.31%,8.10%,8.05%,7.58,88.13%
2017-06-30,65.09亿,5.98%,65.04亿,6.10%,1775.61亿,22.70%,0.7200,14.51,7.37,4.30,4.54,3.74%,4.80%,4.95%,7.48,87.99%
2017-03-31,20.00亿,-9.05%,20.06亿,-8.44%,1084.02亿,29.91%,0.2200,14.65,7.37,4.50,2.92,1.88%,1.50%,1.51%,7.18,87.54%
2016-12-31,120.57亿,-31.99%,120.64亿,-31.59%,2670.37亿,8.01%,1.3300,14.54,7.37,4.28,6.97,4.60%,9.10%,9.15%,6.72,86.80%
2016-09-30,88.29亿,-41.28%,87.95亿,-41.30%,2132.73亿,10.33%,0.9700,14.46,7.37,4.14,4.63,4.22%,6.60%,6.74%,6.63,86.64%
2016-06-30,61.42亿,-45.62%,61.30亿,-45.69%,1447.06亿,7.58%,0.6800,14.01,7.37,3.84,2.80,4.33%,4.60%,4.84%,6.72,86.85%
2016-03-31,21.99亿,-55.15%,21.91亿,-55.28%,834.43亿,13.12%,0.2400,14.61,7.37,4.41,1.77,2.70%,1.70%,1.66%,6.11,85.73%
2015-12-31,177.28亿,60.45%,176.36亿,60.43%,2472.02亿,12.48%,1.9600,14.71,7.37,4.16,4.51,7.30%,14.20%,13.30%,5.91,85.31%
2015-09-30,150.36亿,67.81%,149.82亿,68.28%,1933.01亿,16.68%,1.6600,14.02,7.37,4.10,2.68,7.91%,12.30%,11.84%,6.14,85.78%
2015-06-30,112.95亿,64.94%,112.87亿,65.96%,1345.14亿,17.84%,1.2500,14.19,7.37,3.69,1.48,8.54%,9.10%,8.78%,6.07,85.65%
2015-03-31,49.03亿,52.69%,48.99亿,53.00%,737.62亿,15.76%,0.5400,13.66,7.37,3.49,0.70,6.76%,4.10%,3.96%,6.05,85.60%
2014-12-31,110.49亿,19.31%,109.93亿,19.06%,2197.78亿,13.79%,1.2200,12.93,7.37,2.95,4.42,5.12%,10.25%,9.43%,6.03,85.55%
2014-09-30,89.60亿,10.88%,89.03亿,10.71%,1656.66亿,10.72%,0.9900,12.30,7.58,3.38,3.38,5.50%,8.50%,8.04%,6.46,86.43%
2014-06-30,68.48亿,25.33%,68.01亿,25.13%,1141.45亿,9.68%,0.7600,11.73,7.25,3.15,2.64,6.10%,6.60%,6.44%,6.71,86.87%
2014-03-31,32.11亿,44.31%,32.02亿,44.56%,637.20亿,19.85%,0.3500,11.39,6.91,3.15,1.96,5.12%,3.20%,3.11%,6.54,86.58%
2013-12-31,92.61亿,82.41%,92.33亿,83.67%,1931.37亿,12.65%,1.0200,10.92,6.80,2.79,4.98,4.86%,9.52%,9.36%,6.30,86.13%
2013-09-30,80.81亿,157.77%,80.42亿,157.76%,1496.28亿,13.30%,0.8900,11.13,7.13,2.70,4.17,5.48%,8.20%,8.01%,6.34,86.20%
2013-06-30,54.64亿,107.13%,54.35亿,107.28%,1040.68亿,12.76%,0.6000,10.63,6.92,2.42,3.16,5.33%,5.60%,5.67%,6.47,86.45%
2013-03-31,22.25亿,241.26%,22.15亿,237.14%,531.65亿,7.43%,0.2500,10.98,7.28,2.41,1.42,4.25%,2.30%,2.24%,6.02,85.57%
2012-12-31,50.77亿,-38.93%,50.27亿,-31.36%,1714.51亿,8.56%,0.5900,10.61,7.16,2.16,5.75,2.99%,6.10%,5.28%,6.07,85.68%
2012-09-30,31.35亿,-55.33%,31.20亿,-48.83%,1320.62亿,7.92%,0.3600,9.47,6.11,2.11,5.02,2.40%,4.00%,3.85%,6.92,87.20%
2012-06-30,26.38亿,-54.64%,26.22亿,-52.17%,922.95亿,5.80%,0.3100,9.51,6.20,2.05,3.94,2.89%,3.30%,3.23%,6.82,87.03%
2012-03-31,6.52亿,-81.10%,6.57亿,-80.96%,494.90亿,3.85%,0.0800,9.39,5.97,2.17,2.41,1.32%,0.80%,0.81%,6.63,86.71%
2011-12-31,83.13亿,-2.85%,73.24亿,-14.57%,1579.34亿,11.49%,0.9700,8.93,5.58,2.09,6.46,5.31%,10.62%,10.80%,6.41,86.32%
2011-09-30,70.18亿,43.08%,60.97亿,23.62%,1223.74亿,16.37%,0.8200,8.68,5.49,2.00,5.27,5.79%,9.00%,9.40%,6.23,85.98%
2011-06-30,58.16亿,44.71%,54.82亿,35.32%,872.38亿,20.11%,0.6800,9.28,6.22,1.86,4.09,6.74%,7.20%,7.29%,5.72,84.91%
2011-03-31,34.49亿,22.61%,34.51亿,23.03%,476.57亿,17.97%,0.4000,9.63,6.50,1.94,2.46,7.34%,4.20%,4.16%,5.23,83.73%
2010-12-31,85.57亿,16.33%,85.73亿,15.96%,1416.62亿,35.80%,1.0000,9.34,6.61,1.54,7.16,6.12%,10.88%,10.66%,4.91,82.86%
2010-09-30,49.05亿,0.10%,49.32亿,20.59%,1051.57亿,34.56%,0.5700,9.14,6.83,1.15,5.84,4.71%,6.30%,6.24%,4.80,82.52%
2010-06-30,40.19亿,66.76%,40.51亿,69.50%,726.31亿,40.44%,0.4700,8.63,6.42,1.05,4.37,5.60%,5.20%,5.42%,4.85,82.69%
2010-03-31,28.13亿,192.11%,28.05亿,1376.32%,403.97亿,55.01%,0.3300,9.19,6.82,1.21,2.55,7.07%,3.64%,3.56%,4.32,81.00%
2009-12-31,73.56亿,186.34%,73.93亿,651.32%,1043.13亿,29.06%,0.9500,8.80,6.75,0.89,4.54,7.16%,14.00%,9.85%,4.31,80.95%
2009-09-30,49.00亿,26.42%,40.90亿,7.46%,781.47亿,-1.14%,0.6400,6.50,4.64,0.73,3.58,5.07%,0.0000%,8.11%,6.30,86.18%
2009-06-30,24.10亿,-56.28%,23.90亿,-56.03%,517.18亿,-14.55%,0.3100,6.72,5.09,0.51,2.50,4.43%,4.70%,4.57%,6.05,85.70%
2009-03-31,9.63亿,-46.20%,1.90亿,-88.80%,260.61亿,-16.00%,0.1300,6.58,4.93,0.53,1.33,0.71%,0.0000%,0.40%,5.87,85.31%
2008-12-31,25.69亿,-62.73%,9.84亿,-85.81%,808.28亿,5.19%,0.3300,6.33,4.70,0.50,3.25,1.45%,2.40%,2.75%,5.54,84.59%
2008-09-30,38.76亿,-32.58%,38.06亿,False,823.35亿,20.73%,0.5100,6.38,4.42,0.85,2.97,4.83%,0.0000%,7.89%,5.31,84.05%
2008-06-30,55.12亿,44.18%,54.35亿,41.83%,634.56亿,40.38%,0.7200,6.52,4.35,1.06,2.21,8.85%,9.75%,10.97%,5.08,83.45%
2008-03-31,17.90亿,33.88%,16.97亿,False,335.32亿,58.93%,0.2300,7.15,5.16,0.87,1.18,5.42%,False,3.30%,4.57,81.95%
2007-12-31,68.93亿,583.83%,69.34亿,434.62%,930.08亿,61.68%,1.1200,8.16,6.40,0.64,2.81,7.60%,27.42%,10.97%,3.91,79.51%
2007-09-30,57.49亿,False,False,False,682.00亿,False,0.9600,False,False,False,False,8.65%,False,False,False,False
2007-06-30,38.23亿,False,38.32亿,False,452.04亿,False,0.6800,3.77,2.36,0.37,2.25,8.71%,20.16%,15.12%,8.43,89.25%
2007-03-31,13.37亿,False,False,False,210.98亿,False,0.2700,False,False,False,False,7.56%,False,False,False,False
2006-12-31,10.08亿,-10.88%,12.97亿,12.00%,575.26亿,10.79%,0.2300,2.59,1.84,-0.32,6.40,2.27%,11.35%,9.04%,17.02,93.47%
2005-12-31,11.31亿,202.26%,11.58亿,206.53%,519.24亿,18.16%,0.2600,1.54,1.49,-0.99,5.28,1.75%,33.41%,17.12%,23.31,95.45%
2004-12-31,-11.06亿,False,-10.87亿,False,439.44亿,False,-0.2600,0.60,0.82,-1.24,4.58,-2.51%,-33.08%,-42.59%,45.79,97.81%
