报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2013-12-31,7459.01万,5.81%,7548.12万,8.19%,4.88亿,-7.49%,0.0450,1.32,0.0001,0.11,-0.25,15.34%,3.45%,3.42%,1.12,52.84%
2013-09-30,7882.08万,864.94%,7917.58万,824.87%,3.97亿,13.06%,0.0480,1.32,-0.0003,0.13,0.12,20.03%,3.65%,3.62%,1.21,54.66%
2013-06-30,2053.23万,-71.09%,2136.47万,-69.61%,2.27亿,-26.55%,0.0120,1.30,-0.0001,0.11,0.02,9.03%,0.96%,0.95%,1.03,50.86%
2013-03-31,1972.84万,20.64%,1972.06万,18.13%,1.19亿,0.79%,0.0120,1.30,0.0000,0.11,0.10,16.65%,0.92%,0.92%,1.09,52.06%
2012-12-31,7049.13万,-55.01%,6976.66万,-54.63%,5.26亿,-21.01%,0.0430,1.29,0.0009,0.09,-0.44,13.41%,3.31%,3.30%,1.10,52.35%
2012-09-30,816.85万,-93.31%,856.07万,-92.86%,3.50亿,-36.46%,0.0050,1.25,0.0004,0.07,-0.58,2.34%,0.39%,0.39%,1.21,54.65%
2012-06-30,7101.53万,-47.49%,7031.22万,-47.52%,3.09亿,-32.05%,0.0430,1.45,0.0000,0.25,0.04,22.95%,3.30%,3.25%,1.35,57.45%
2012-03-31,1635.36万,-82.30%,1669.45万,-81.99%,1.18亿,-55.43%,0.0100,1.42,0.0000,0.22,-0.24,13.91%,0.77%,0.77%,1.52,60.31%
2011-12-31,1.57亿,-23.11%,1.54亿,-24.49%,6.66亿,-1.38%,0.0950,1.41,0.0000,0.21,-0.74,23.54%,7.69%,7.41%,1.34,57.18%
2011-09-30,1.22亿,-17.97%,1.20亿,-19.41%,5.50亿,16.72%,0.0740,1.38,0.0000,0.21,-1.09,22.18%,6.04%,5.87%,1.61,61.67%
2011-06-30,1.35亿,139.45%,1.34亿,137.39%,4.55亿,84.54%,0.0890,1.39,0.0000,0.22,-0.77,29.69%,6.67%,6.46%,1.27,55.86%
2011-03-31,9237.11万,29.38%,9267.20万,28.60%,2.64亿,62.68%,0.0610,1.36,0.0000,0.19,-0.55,35.01%,4.61%,4.50%,1.93,65.82%
2010-12-31,2.04亿,-49.73%,2.04亿,-49.73%,6.75亿,-19.21%,0.1360,1.30,0.0000,0.13,0.11,30.19%,10.90%,10.40%,1.99,66.55%
2010-09-30,1.49亿,-50.46%,1.49亿,-50.51%,4.72亿,-16.87%,0.0990,1.27,0.0000,0.16,-0.07,31.55%,7.82%,7.82%,1.53,60.42%
2010-06-30,5647.96万,-72.60%,5644.17万,-72.57%,2.47亿,-31.33%,0.0380,1.20,-0.0001,0.10,-0.37,22.88%,3.12%,3.12%,1.62,61.85%
2010-03-31,7139.78万,-36.50%,7205.94万,-35.90%,1.62亿,-9.75%,0.0470,1.24,0.0000,0.13,-0.18,44.02%,3.85%,3.85%,1.76,63.82%
2009-12-31,4.05亿,162.82%,4.05亿,162.91%,8.35亿,315.78%,0.2700,1.19,0.0000,0.08,1.38,48.52%,25.61%,22.71%,2.34,70.04%
2009-09-30,3.00亿,156.07%,3.00亿,156.23%,5.67亿,276.61%,0.2000,1.12,0.0000,0.0100,1.52,52.94%,0.0000%,17.88%,2.17,68.41%
2009-06-30,2.06亿,146.10%,2.06亿,146.15%,3.59亿,220.49%,0.1370,1.05,0.0000,-0.05,0.90,57.35%,13.90%,13.00%,1.73,63.35%
2009-03-31,1.12亿,144.93%,1.12亿,144.96%,1.80亿,201.19%,0.0750,0.99,0.0000,-0.11,0.88,62.56%,0.0000%,7.53%,2.11,67.86%
2008-12-31,-6.45亿,-205.92%,-6.44亿,-205.64%,-3.87亿,-136.80%,-0.4290,0.92,0.0000,-0.19,-0.97,False,-37.90%,-46.76%,1.53,60.50%
2008-09-30,-5.36亿,-226.95%,-5.34亿,False,-3.21亿,-141.68%,-0.3560,0.99,0.0000,-0.11,-1.11,False,0.0000%,-35.97%,1.22,54.88%
2008-06-30,-4.47亿,-275.22%,-4.46亿,-274.67%,-2.98亿,-166.31%,-0.2970,1.05,0.0000,-0.05,-1.18,False,-24.82%,-28.34%,1.49,59.77%
2008-03-31,-2.50亿,-241.62%,-2.50亿,-266.55%,-1.78亿,-174.73%,-0.1660,1.18,0.0000,0.08,-0.53,False,False,-14.10%,1.42,58.74%
2007-12-31,6.09亿,361.79%,6.09亿,387.61%,10.52亿,354.70%,0.4520,1.35,0.0000,0.24,1.44,57.91%,38.96%,30.08%,1.44,58.95%
2007-09-30,4.22亿,False,False,False,7.71亿,False,0.3260,False,False,False,False,54.75%,False,False,False,False
2007-06-30,2.55亿,False,2.55亿,False,4.50亿,False,0.2140,4.80,0.0000,0.48,5.57,56.74%,20.74%,15.28%,1.58,61.30%
2007-03-31,1.77亿,False,1.50亿,False,2.38亿,False,0.1943,-0.67,False,0.19,0.02,63.23%,False,10.26%,1.29,56.33%
2006-12-31,1.32亿,165.79%,1.25亿,161.61%,2.31亿,910.06%,0.1984,-0.77,False,-0.24,0.07,57.02%,25.66%,22.74%,1.52,60.30%
2005-12-31,-2.01亿,-1135.14%,-2.03亿,-1149.73%,2290.62万,49.63%,-0.3015,1.29,False,-0.62,-1.08,-875.36%,-36.56%,-44.73%,0.76,43.23%
2004-12-31,-1623.40万,False,-1623.20万,False,1530.82万,False,-0.0244,1.86,False,-0.05,1.00,-106.05%,-2.47%,-2.50%,0.56,35.76%
