报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
2019-12-31,7.10亿,206.24%,7.11亿,226.51%,22.02亿,78.44%,0.2200,3.36,1.27,0.49,0.29,32.48%,6.55%,6.40%,2.24,68.93%
2019-09-30,6.52亿,188.44%,6.50亿,188.81%,16.60亿,83.51%,0.2000,3.34,1.27,0.53,0.03,39.51%,6.01%,5.92%,2.13,67.83%
2019-06-30,3.84亿,105.99%,3.83亿,107.75%,10.02亿,57.32%,0.1200,3.90,1.73,0.54,0.62,38.44%,3.56%,3.58%,2.02,66.70%
2019-03-31,2.11亿,91.13%,2.11亿,91.93%,5.07亿,53.84%,0.0600,3.94,1.73,0.58,1.05,41.65%,1.97%,1.95%,1.90,65.28%
2018-12-31,2.32亿,-43.55%,2.18亿,-46.48%,12.34亿,-11.13%,0.0700,3.85,1.73,0.51,0.21,19.10%,2.32%,2.19%,1.33,56.80%
2018-09-30,2.26亿,-29.14%,2.25亿,-28.18%,9.04亿,-9.83%,0.0700,3.84,1.73,0.54,0.10,25.39%,2.31%,2.14%,1.21,54.54%
2018-06-30,1.86亿,-23.17%,1.84亿,-22.72%,6.37亿,-6.30%,0.0800,3.82,1.73,0.52,0.15,29.49%,1.97%,1.78%,1.42,58.49%
2018-03-31,1.10亿,-18.79%,1.10亿,-19.27%,3.30亿,-10.54%,0.0400,3.83,False,False,0.32,33.60%,1.17%,1.16%,1.55,60.72%
2017-12-31,4.11亿,-16.81%,4.07亿,-16.04%,13.88亿,-7.67%,0.1700,3.79,1.65,0.50,-0.43,29.77%,4.42%,4.38%,1.51,60.00%
2017-09-30,3.19亿,-33.98%,3.13亿,-33.81%,10.03亿,-12.02%,0.1300,False,False,False,0.22,31.93%,3.43%,False,False,False
2017-06-30,2.43亿,-17.60%,2.39亿,-16.79%,6.80亿,-4.18%,0.1000,False,1.65,0.49,False,35.84%,2.60%,False,1.42,58.63%
2017-03-31,1.36亿,False,1.36亿,False,3.68亿,False,False,False,False,False,0.14,36.90%,False,False,False,False
2016-12-31,4.94亿,-65.07%,4.84亿,-65.90%,15.00亿,-50.01%,0.2000,3.74,1.65,0.49,-1.25,32.92%,5.36%,5.34%,1.90,65.45%
2016-09-30,4.83亿,False,4.74亿,False,11.40亿,False,0.2000,False,1.65,0.55,-2.28,42.37%,5.21%,False,2.17,68.42%
2016-06-30,2.94亿,-72.08%,2.87亿,-72.75%,7.10亿,-61.06%,0.1200,False,1.65,0.62,False,41.45%,3.15%,False,2.52,71.54%
2015-12-31,14.13亿,154.85%,14.20亿,165.38%,30.00亿,111.08%,0.7100,3.74,1.65,0.50,0.16,47.10%,24.24%,15.28%,3.64,78.39%
2015-06-30,10.54亿,False,10.52亿,False,18.22亿,False,0.5500,False,False,False,False,57.94%,20.51%,False,False,False
2015-05-31,8.35亿,False,8.33亿,False,14.43亿,False,0.4400,False,False,False,4.64,False,16.38%,False,False,False
2014-12-31,5.54亿,104.64%,5.35亿,98.17%,14.21亿,40.04%,0.2900,False,0.64,0.28,1.26,39.08%,12.83%,False,4.04,79.99%
2013-12-31,2.71亿,54.77%,2.70亿,False,10.15亿,18.56%,0.1400,False,0.64,0.12,-0.40,26.86%,6.83%,False,1.68,62.47%
2012-12-31,1.75亿,-7.28%,False,False,8.56亿,-5.55%,0.0900,False,0.64,0.07,False,20.57%,False,False,1.88,64.96%
2011-12-31,1.89亿,-56.18%,False,False,9.06亿,-28.07%,False,False,0.12,0.36,False,20.91%,False,False,1.57,61.01%
2010-12-31,4.31亿,-37.99%,False,False,12.60亿,-20.02%,False,False,0.05,0.50,False,34.23%,False,False,2.14,68.08%
2009-12-31,6.95亿,50.98%,False,False,15.75亿,48.92%,False,False,0.05,0.53,False,44.09%,False,False,3.05,75.25%
2008-12-31,4.60亿,-58.36%,False,False,10.58亿,-51.92%,False,False,0.05,0.33,False,42.55%,False,False,1.86,64.96%
2007-12-31,11.05亿,819.89%,False,False,22.47亿,456.90%,False,False,0.16,0.78,False,50.11%,False,False,4.54,81.84%
2006-12-31,1.20亿,False,False,False,4.04亿,False,False,False,0.06,0.09,False,29.77%,False,False,3.05,75.33%
